old_path,new_path,capture_timestamp,capture_date,camera_slug,make,model,width,height
public/to sort/9803DED2-4DFE-4AF8-B581-4B542C717CB5.JPG,mkjr_20250518_sony-ilce-7cm2_001.jpg,2025-05-18 13:03:26 +0000,20250518,sony-ilce-7cm2,SONY,ILCE-7CM2,3072,4608
public/to sort/A29D35CC-1CEF-4958-985B-635FB7357D57.JPG,mkjr_20231118_sony-ilce-7cm2_001.jpg,2023-11-18 16:15:27 +0000,20231118,sony-ilce-7cm2,SONY,ILCE-7CM2,2773,4164
public/to sort/A6CD4B7D-B6F2-407B-9D47-C9412E7D5F5B.JPG,mkjr_20241116_sony-ilce-7cm2_001.jpg,2024-11-16 15:37:53 +0000,20241116,sony-ilce-7cm2,SONY,ILCE-7CM2,3826,5745
public/to sort/AA397668-5DEE-4894-AC41-4E2E58CAC6AA.JPG,mkjr_20231110_sony-ilce-7cm2_006.jpg,2023-11-10 09:24:58 +0000,20231110,sony-ilce-7cm2,SONY,ILCE-7CM2,2519,3782
public/to sort/AC192D9A-7A27-4F45-A507-9062B62C670C.JPG,mkjr_20250227_sony-ilce-7cm2_007.jpg,2025-02-27 10:26:31 +0000,20250227,sony-ilce-7cm2,SONY,ILCE-7CM2,3259,4893
public/to sort/B8E472DE-F68D-43D9-B84A-4173103FBEC1.JPG,mkjr_20231106_sony-ilce-7cm2_002.jpg,2023-11-06 09:47:20 +0000,20231106,sony-ilce-7cm2,SONY,ILCE-7CM2,4672,7008
public/to sort/BB44ADE0-50B9-4120-91F4-A5B3EC2A42DB.JPG,mkjr_20241010_sony-ilce-7cm2_001.jpg,2024-10-10 09:48:31 +0000,20241010,sony-ilce-7cm2,SONY,ILCE-7CM2,3524,5290
public/to sort/CBE239B7-ED5E-424B-902C-7F8847DA1F64.JPG,mkjr_20231121_sony-ilce-7cm2_001.jpg,2023-11-21 12:54:01 +0000,20231121,sony-ilce-7cm2,SONY,ILCE-7CM2,2922,4387
public/to sort/CF7A6882-7B54-4F22-A05B-A278703B0449.JPG,mkjr_20241005_sony-ilce-7cm2_002.jpg,2024-10-05 13:40:03 +0000,20241005,sony-ilce-7cm2,SONY,ILCE-7CM2,4437,6662
public/to sort/DD4A3CFD-F27F-4892-95F0-03D4FB865015.JPG,mkjr_20230621_canon-eos-7d_006.jpg,2023-06-21 13:32:25 +0000,20230621,canon-eos-7d,Canon,Canon EOS 7D,2592,3888
